episode,loss,policy_loss,value_loss,entropy,approx_kl
1,0.09628692269325256,0.07224774360656738,0.0664571151137352,0.9189385175704956,1.3989630937576294
2,0.09160424768924713,0.08601313829421997,0.029566988348960876,0.9192385077476501,1.5680416822433472
3,0.14574091136455536,0.1346549391746521,0.0405627116560936,0.9195387959480286,1.4339964389801025
4,0.1909601390361786,0.1766415387392044,0.04703366011381149,0.919823944568634,1.491811990737915
5,0.13390304148197174,0.12746763229370117,0.031273066997528076,0.9201123714447021,1.4959914684295654
6,0.0492866225540638,0.04368467628955841,0.029611969366669655,0.920403778553009,1.533827543258667
7,0.18818533420562744,0.1648031771183014,0.06517817080020905,0.9206916093826294,1.6216049194335938
8,0.15717917680740356,0.15220002830028534,0.028377868235111237,0.920978307723999,1.4499280452728271
9,0.17793115973472595,0.16348573565483093,0.04731602221727371,0.9212577939033508,1.3909574747085571
10,0.018228735774755478,0.014354061335325241,0.02618022821843624,0.921544075012207,1.3678030967712402
11,0.16439908742904663,0.15428727865219116,0.03866017237305641,0.921828031539917,1.4526426792144775
12,0.10660676658153534,0.09423545002937317,0.04318486154079437,0.9221112132072449,1.537192702293396
13,0.1473672240972519,0.1344349980354309,0.04431246221065521,0.9224014282226562,1.4543590545654297
14,0.167458638548851,0.1422649323940277,0.06884138286113739,0.9226992726325989,1.5162091255187988
15,0.13284938037395477,0.12517184019088745,0.03381500765681267,0.9229954481124878,1.4929726123809814
16,0.19285254180431366,0.17756803333759308,0.049034737050533295,0.923287034034729,1.4753752946853638
17,0.1441536545753479,0.14308033883571625,0.0206182599067688,0.9235816597938538,1.529595971107483
18,0.0356329083442688,0.028735432773828506,0.03227256238460541,0.9238805770874023,1.2765378952026367
19,0.11094879359006882,0.1031254231929779,0.03413010388612747,0.9241676330566406,1.4372923374176025
20,0.1402069479227066,0.13856515288352966,0.021772615611553192,0.9244517683982849,1.619546890258789
21,0.11735153943300247,0.12011406570672989,0.012969453819096088,0.9247252941131592,1.3412902355194092
22,0.04802250862121582,0.044993143528699875,0.024558406323194504,0.924983561038971,1.5995696783065796
23,0.10640142112970352,0.08439742028713226,0.06251256167888641,0.9252278208732605,1.3971728086471558
24,0.08871130645275116,0.090871661901474,0.014188737608492374,0.9254720211029053,1.5544072389602661
25,0.1149977520108223,0.10353541374206543,0.04143889248371124,0.9257105588912964,1.590583086013794
26,0.11268911510705948,0.10512015223503113,0.03365706279873848,0.9259563684463501,1.5487916469573975
27,0.09827512502670288,0.09452179819345474,0.026030762121081352,0.9262052774429321,1.6094597578048706
28,0.1196732297539711,0.11141906678676605,0.0350370891392231,0.9264386296272278,1.656355857849121
29,0.1372150331735611,0.1263788789510727,0.04020559787750244,0.9266647100448608,1.3382840156555176
30,0.10271099209785461,0.09070143848657608,0.04255703091621399,0.9268961548805237,1.4389017820358276
