episode,loss,policy_loss,value_loss,entropy,approx_kl
1,0.09649050980806351,0.07179287075996399,0.06777404248714447,0.9189385175704956,1.397607684135437
2,0.09592961519956589,0.08954919874668121,0.031145598739385605,0.9192385077476501,1.5673366785049438
3,0.14685888588428497,0.1350574940443039,0.04199356585741043,0.9195388555526733,1.4311792850494385
4,0.18752197921276093,0.17264336347579956,0.048153698444366455,0.9198232889175415,1.4911258220672607
5,0.14034919440746307,0.1337755024433136,0.031549595296382904,0.9201111197471619,1.4986629486083984
6,0.05358492210507393,0.047422800213098526,0.030732300132513046,0.9204027652740479,1.5462350845336914
7,0.19119472801685333,0.16530492901802063,0.07019339501857758,0.9206909537315369,1.6146595478057861
8,0.15364399552345276,0.14736567437648773,0.030976179987192154,0.9209774732589722,1.452942132949829
9,0.18052002787590027,0.16362065076828003,0.05222391337156296,0.9212588667869568,1.389548659324646
10,0.024580182507634163,0.01945195347070694,0.02868739329278469,0.9215468764305115,1.370471477508545
11,0.16856426000595093,0.15707051753997803,0.04142414778470993,0.9218331575393677,1.4518826007843018
12,0.10738985240459442,0.09379716962575912,0.045627765357494354,0.9221194386482239,1.5313720703125
13,0.14347735047340393,0.12882503867149353,0.04775287210941315,0.9224115610122681,1.4535380601882935
14,0.17138493061065674,0.13761115074157715,0.08600176870822906,0.9227102994918823,1.5111448764801025
15,0.14110197126865387,0.12858745455741882,0.043489184230566025,0.9230073094367981,1.4878199100494385
16,0.1892402172088623,0.16792117059230804,0.06110410392284393,0.9232997894287109,1.4756202697753906
17,0.14782753586769104,0.1445271372795105,0.025072695687413216,0.9235941171646118,1.5347709655761719
18,0.04445522278547287,0.0313476100564003,0.04469308257102966,0.9238930940628052,1.282684564590454
19,0.11697555333375931,0.10058693587779999,0.051260821521282196,0.9241798520088196,1.4315483570098877
20,0.14391610026359558,0.13318616151809692,0.03994918614625931,0.9244644641876221,1.611039161682129
21,0.11273393779993057,0.10758313536643982,0.028796380385756493,0.9247387647628784,1.3399778604507446
22,0.0683583915233612,0.05738518759608269,0.04044635593891144,0.9249973297119141,1.5940768718719482
23,0.12171906977891922,0.08816511929035187,0.08561278134584427,0.9252434372901917,1.3954746723175049
